GeografischerName_GEN,mean.day_1,mean.day_2,mean.day_3,mean.day_4,mean.day_5,mean.day_6,mean.day_7,mean.day_8,mean.day_9,mean.day_10,mean.day_11,mean.day_12,mean.day_13,mean.day_14,mean.day_15,mean.day_16,mean.day_17,mean.day_18,mean.day_19,mean.day_20,mean.day_21,mean.day_22,mean.day_23,mean.day_24,mean.day_25,mean.day_26,mean.day_27,mean.day_28,mean.day_29,mean.day_30,mean.day_31,mean.day_32,mean.day_33,mean.day_34,mean.day_35,mean.day_36,mean.day_37,mean.day_38,mean.day_39,mean.day_40,mean.day_41,mean.day_42,mean.day_43,mean.day_44,mean.day_45,mean.day_46,mean.day_47,mean.day_48,mean.day_49,mean.day_50,mean.day_51,mean.day_52,mean.day_53,mean.day_54,mean.day_55,mean.day_56,mean.day_57,mean.day_58,mean.day_59,mean.day_60,mean.day_61,mean.day_62,mean.day_63,mean.day_64,mean.day_65,mean.day_66,mean.day_67,mean.day_68,mean.day_69,mean.day_70,mean.day_71,mean.day_72,mean.day_73,mean.day_74,mean.day_75,mean.day_76,mean.day_77,mean.day_78,mean.day_79,mean.day_80,mean.day_81,mean.day_82,mean.day_83,mean.day_84,mean.day_85,mean.day_86,mean.day_87,mean.day_88,mean.day_89,mean.day_90,mean.day_91,mean.day_92,mean.day_93,mean.day_94,mean.day_95,mean.day_96,mean.day_97,mean.day_98,mean.day_99,mean.day_100,mean.day_101,mean.day_102,mean.day_103,mean.day_104,mean.day_105,mean.day_106,mean.day_107,mean.day_108,mean.day_109,mean.day_110,mean.day_111,mean.day_112,mean.day_113,mean.day_114,mean.day_115,mean.day_116,mean.day_117,mean.day_118,mean.day_119,mean.day_120,mean.day_121,mean.day_122,mean.day_123,mean.day_124,mean.day_125,mean.day_126,mean.day_127,mean.day_128,mean.day_129,mean.day_130,mean.day_131,mean.day_132,mean.day_133,mean.day_134,mean.day_135,mean.day_136,mean.day_137,mean.day_138,mean.day_139,mean.day_140,mean.day_141,mean.day_142,mean.day_143,mean.day_144,mean.day_145,mean.day_146,mean.day_147,mean.day_148,mean.day_149,mean.day_150,mean.day_151,mean.day_152,mean.day_153,mean.day_154,mean.day_155,mean.day_156,mean.day_157,mean.day_158,mean.day_159,mean.day_160,mean.day_161,mean.day_162,mean.day_163,mean.day_164,mean.day_165,mean.day_166,mean.day_167,mean.day_168,mean.day_169,mean.day_170,mean.day_171,mean.day_172,mean.day_173,mean.day_174,mean.day_175,mean.day_176,mean.day_177,mean.day_178,mean.day_179,mean.day_180,mean.day_181,mean.day_182,mean.day_183,mean.day_184,mean.day_185,mean.day_186,mean.day_187,mean.day_188,mean.day_189,mean.day_190,mean.day_191,mean.day_192,mean.day_193,mean.day_194,mean.day_195,mean.day_196,mean.day_197,mean.day_198,mean.day_199,mean.day_200,mean.day_201,mean.day_202,mean.day_203,mean.day_204,mean.day_205,mean.day_206,mean.day_207,mean.day_208,mean.day_209,mean.day_210,mean.day_211,mean.day_212,mean.day_213,mean.day_214,mean.day_215,mean.day_216,mean.day_217,mean.day_218,mean.day_219,mean.day_220,mean.day_221,mean.day_222,mean.day_223,mean.day_224,mean.day_225,mean.day_226,mean.day_227,mean.day_228,mean.day_229,mean.day_230,mean.day_231,mean.day_232,mean.day_233,mean.day_234,mean.day_235,mean.day_236,mean.day_237,mean.day_238,mean.day_239,mean.day_240,mean.day_241,mean.day_242,mean.day_243,mean.day_244,mean.day_245,mean.day_246,mean.day_247,mean.day_248,mean.day_249,mean.day_250,mean.day_251,mean.day_252,mean.day_253,mean.day_254,mean.day_255,mean.day_256,mean.day_257,mean.day_258,ID
Flensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942518282681704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590022541582584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281105548143387,0.338877320289612,0.326632410287857,0,0.218126475811005,0.269664287567139,0,0,0,0,0,0,0,0.236675530672073,0.556437373161316,0.811546921730042,0.653557777404785,0.45995020866394,0.655396044254303,0.520374715328217,0,0.276356339454651,0.766380250453949,1.05245542526245,0.440226912498474,0.361368000507355,0.636639356613159,0.60463935136795,0.643846809864044,0.93774276971817,0.899413287639618,0.69551545381546,1.20340859889984,1.45281934738159,0.649954795837402,0.663819253444672,0.827054738998413,0.882408976554871,0.498563170433044,0.43772280216217,0.745548188686371,0.894530594348907,1.01169669628143,0.953209400177002,0.945027828216553,1.12199771404266,0.765249013900757,0.776266574859619,1.08488881587982,1.25623214244843,1.43914294242859,1.56073045730591,1.16412079334259,0.823216915130615,1.09030020236969,1.21850907802582,1.17006742954254,1.17315685749054,0.978079199790955,1.03602087497711,0.726093947887421,0,0.923448801040649,0.933294236660004,1.00922727584839,0.556048512458801,1.11695051193237,0.732260167598724,0.49698281288147,1.10736858844757,1.23904693126678,1.16466546058655,0.927716195583344,0.739035487174988,2
Lübeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292717362754047,0.00660213828086853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445603579282761,0.0358792170882225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705616399645805,0,0,0,0,0,0,0,0,0,0.172141939401627,0.182935371994972,0.183515444397926,0,0.122858569025993,0.188967764377594,0,0,0,0,0,0,0,0.162908926606178,0.292057633399963,0.404522955417633,0.318090707063675,0.242499813437462,0.318540334701538,0.291110306978226,0.14359113574028,0.1639404296875,0.383587539196014,0.49445852637291,0.247653782367706,0.205653220415115,0.342102974653244,0.326486259698868,0.307409465312958,0.4515360891819,0.453064113855362,0.33402892947197,0.54276043176651,0.676918745040894,0.352252721786499,0.310304284095764,0.422868251800537,0.44058284163475,0.264253199100494,0.17151041328907,0.379245936870575,0.440371304750443,0.474421232938766,0.414859890937805,0.42412856221199,0.541414976119995,0.395012885332108,0.330919206142426,0.430660992860794,0.522262156009674,0.637150287628174,0.72596538066864,0.488836079835892,0.360563725233078,0.460883557796478,0.534086465835571,0.541045784950256,0.519407033920288,0.434096187353134,0.494576930999756,0.317556381225586,0.235775604844093,0.367266178131104,0.40569943189621,0.420733660459518,0.229622364044189,0.527939260005951,0.364187270402908,0.265209197998047,0.512133479118347,0.583158910274506,0.551800012588501,0.438964992761612,0.351532459259033,3
Neumünster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271060690283775,0.00780942523851991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508513562381268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221088543534279,0.269407898187637,0.244132101535797,0,0.162514835596085,0.201913446187973,0,0,0,0,0,0,0,0.215805515646935,0.435735374689102,0.603940606117249,0.468311846256256,0.34645888209343,0.463922470808029,0.383701175451279,0,0.191019728779793,0.547790884971619,0.731818497180939,0.316106736660004,0.274144440889359,0.470176607370377,0.436140865087509,0.450899243354797,0.657051146030426,0.630045354366302,0.529961585998535,0.863641440868378,0.996112704277039,0.43886062502861,0.44595804810524,0.579724669456482,0.60986316204071,0.328024178743362,0.267924010753632,0.523141443729401,0.592508137226105,0.664174497127533,0.660968780517578,0.644847869873047,0.784900724887848,0.53700578212738,0.496164321899414,0.727598607540131,0.82389909029007,0.988825798034668,1.08626008033752,0.791606545448303,0.576563835144043,0.767236471176147,0.843084752559662,0.803085386753082,0.803025722503662,0.659708082675934,0.697931706905365,0.496318995952606,0,0.67115181684494,0.625488638877869,0.679828763008118,0.381326824426651,0.782369673252106,0.501908183097839,0.347041755914688,0.770385801792145,0.817349076271057,0.811108469963074,0.592478215694427,0.480735033750534,4
Dithmarschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133863557130098,0.000271132710622624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264672171324492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520259700715542,0,0,0,0,0,0,0,0,0,0,0.089015394449234,0.12525175511837,0.107919380068779,0,0.0756876021623611,0.0321984402835369,0,0,0,0,0,0,0,0.108689457178116,0.204156771302223,0.274427682161331,0.188907817006111,0.145618095993996,0.189388662576675,0.155946612358093,0,0.0408898368477821,0.240082755684853,0.320607393980026,0.129501655697823,0.143176928162575,0.191326498985291,0.174537479877472,0.198780238628387,0.269281029701233,0.249819666147232,0.236265927553177,0.379675984382629,0.406685799360275,0.184755966067314,0.201231420040131,0.231764361262321,0.249884814023972,0.147637605667114,0.15136131644249,0.201100677251816,0.222273796796799,0.260738492012024,0.284365803003311,0.266089349985123,0.316556841135025,0.229883372783661,0.215019717812538,0.302905857563019,0.351198524236679,0.388931483030319,0.435495644807816,0.344855546951294,0.251991510391235,0.321051865816116,0.338296890258789,0.316354334354401,0.322994500398636,0.293295294046402,0.283311456441879,0.211502075195312,0.0567716881632805,0.288640439510345,0.263487905263901,0.274612694978714,0.18048945069313,0.30992528796196,0.197917953133583,0.160166203975677,0.305452108383179,0.310507357120514,0.311131685972214,0.24403977394104,0.214945375919342,5
Herzogtum Lauenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506919017061591,0.00929444003850222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375861511565745,0.0621475130319595,0.0568397380411625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224018073640764,0.10310735553503,0,0,0,0,0,0,0,0,0,0.214237332344055,0.232460513710976,0.228065997362137,0,0.158430516719818,0.239170491695404,0.0046696113422513,0.0950919538736343,0,0,0,0,0,0.210230574011803,0.35300025343895,0.473098754882812,0.361052960157394,0.27841991186142,0.360969334840775,0.340823143720627,0.169505029916763,0.202117592096329,0.450183749198914,0.567890763282776,0.288827806711197,0.259117305278778,0.396918028593063,0.395139306783676,0.343438327312469,0.512989580631256,0.510082125663757,0.39916729927063,0.628096044063568,0.765747487545013,0.406790524721146,0.361338436603546,0.48363584280014,0.490926176309586,0.302285015583038,0.177662491798401,0.426292508840561,0.490239232778549,0.514432668685913,0.44642385840416,0.452177077531815,0.597782135009766,0.440075308084488,0.363151967525482,0.445073872804642,0.577525198459625,0.700016260147095,0.795418083667755,0.525947093963623,0.408158332109451,0.484842628240585,0.574654936790466,0.583187580108643,0.566716253757477,0.465126693248749,0.532798767089844,0.330988049507141,0.275690704584122,0.353922724723816,0.433130383491516,0.4373419880867,0.242187455296516,0.573891878128052,0.407269775867462,0.316091060638428,0.55548894405365,0.631388247013092,0.605843365192413,0.480050086975098,0.416111350059509,6
Nordfriesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00894726347178221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300269294530153,0,0,0,0,0,0,0,0,0,0,0.0386352203786373,0.0633464828133583,0.0592076107859612,0,0.0393893271684647,0,0,0,0,0,0,0,0,0.0494383908808231,0.114213414490223,0.160159885883331,0.112604595720768,0.0828341916203499,0.111790761351585,0.09425288438797,0,0,0.134905770421028,0.189727500081062,0.085613876581192,0.0887267217040062,0.108871847391129,0.0905193015933037,0.127351105213165,0.165867835283279,0.146254450082779,0.139159545302391,0.228227868676186,0.240894839167595,0.107549995183945,0.122608155012131,0.144291117787361,0.162734091281891,0.103604875504971,0.109422370791435,0.116224154829979,0.134280323982239,0.160874903202057,0.176645547151566,0.163891687989235,0.194032087922096,0.143559128046036,0.136185452342033,0.199222356081009,0.218549609184265,0.241522789001465,0.26877623796463,0.222181990742683,0.159286499023438,0.213098645210266,0.22576379776001,0.197173297405243,0.20351679623127,0.193590819835663,0.174960225820541,0.133706092834473,0.0515167266130447,0.176409348845482,0.178174838423729,0.185379981994629,0.118105828762054,0.187365546822548,0.12660326063633,0.118131048977375,0.180882394313812,0.189247608184814,0.189499244093895,0.158654078841209,0.11890484392643,7
Ostholstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021067718626,0.00414963951334357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289353225380182,0.00258066947571933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507718650624156,0,0,0,0,0,0,0,0,0,0.138366237282753,0.144349724054337,0.150910779833794,0,0.099072203040123,0.147679224610329,0,0,0,0,0,0,0,0.117753066122532,0.240909174084663,0.351141154766083,0.286368250846863,0.21106219291687,0.290419101715088,0.247998476028442,0.0818289890885353,0.125280722975731,0.332690358161926,0.450654685497284,0.211390480399132,0.155212044715881,0.290184170007706,0.278898924589157,0.278398454189301,0.407256603240967,0.403394401073456,0.283885657787323,0.490835130214691,0.617869794368744,0.308252036571503,0.286671936511993,0.369751960039139,0.394253343343735,0.222420305013657,0.169457748532295,0.328327834606171,0.388170421123505,0.436803936958313,0.390591353178024,0.397518277168274,0.478799223899841,0.345566898584366,0.320110112428665,0.426791906356812,0.497495770454407,0.586327612400055,0.651895046234131,0.468241304159164,0.332767099142075,0.438633471727371,0.496829956769943,0.492872178554535,0.478497266769409,0.400291830301285,0.449394226074219,0.308975249528885,0.0169448349624872,0.356751888990402,0.376685053110123,0.404846608638763,0.221083104610443,0.467071264982224,0.322812855243683,0.215250372886658,0.457560420036316,0.528991401195526,0.485849052667618,0.400522708892822,0.304526209831238,8
Pinneberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247909245081246,0.00389353791251779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281426273286343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288271475583315,0,0,0,0,0,0,0,0,0,0,0.105652183294296,0.123178258538246,0.115800827741623,0,0.078722283244133,0.099934920668602,0,0,0,0,0,0,0,0.108025185763836,0.202845573425293,0.266140073537827,0.19636532664299,0.151795700192451,0.196441173553467,0.166055113077164,0,0.0826916843652725,0.23839758336544,0.306912273168564,0.143892794847488,0.134139209985733,0.203209266066551,0.195152848958969,0.194645166397095,0.277501493692398,0.261207908391953,0.226132184267044,0.36049610376358,0.410719484090805,0.186599642038345,0.185450255870819,0.243999823927879,0.253639370203018,0.132859110832214,0.0813521072268486,0.211950168013573,0.228510946035385,0.25805339217186,0.268440723419189,0.256448745727539,0.313414692878723,0.228732541203499,0.195187509059906,0.275654166936874,0.329387605190277,0.390598565340042,0.430650144815445,0.314650118350983,0.23924432694912,0.289547860622406,0.329487472772598,0.313779085874557,0.313184350728989,0.258942246437073,0.27724289894104,0.198981985449791,0.0829579085111618,0.248953685164452,0.240804716944695,0.261791735887527,0.159005999565125,0.316073715686798,0.204411208629608,0.147094950079918,0.304164439439774,0.310225367546082,0.309334635734558,0.222561299800873,0.188133761286736,9
Plön,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13934865011834e-05,0.0062982109375298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417104251682758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200525045394897,0.225213468074799,0.226237341761589,0,0.150258451700211,0.202148228883743,0,0,0,0,0,0,0,0.169015601277351,0.373150169849396,0.545106291770935,0.443015307188034,0.318059235811234,0.446963548660278,0.364339530467987,0,0.190430283546448,0.515859365463257,0.705806076526642,0.309959322214127,0.236746221780777,0.436454713344574,0.41803777217865,0.432797431945801,0.631414234638214,0.614513158798218,0.45839250087738,0.790715277194977,0.970196187496185,0.452944219112396,0.446528941392899,0.562115073204041,0.600831031799316,0.333895206451416,0.235783353447914,0.503654897212982,0.598672747612,0.678886234760284,0.628956854343414,0.630058825016022,0.751896560192108,0.527022361755371,0.512615561485291,0.705952882766724,0.816075325012207,0.946446478366852,1.03465020656586,0.763863921165466,0.542032122612,0.716400265693665,0.80451238155365,0.780330181121826,0.772091090679169,0.643851280212402,0.700379192829132,0.491455376148224,0,0.600980818271637,0.611479043960571,0.662488162517548,0.363020151853561,0.742585062980652,0.500448524951935,0.334436655044556,0.733763694763184,0.83134263753891,0.778772473335266,0.627144992351532,0.490406006574631,10
